No,mst_name,formation_type,mst_link,mst_objectif,mst_program,mst_skills,mst_Coord
11,MST : Modélisation Mathématique et Science de Données,mst,https://fstt.ac.ma/Portail2023/mst-modelisation-mathematique-et-science-de-donnees/,"Le Master Modélisation Mathématique et Science de Données (MMSD) de l'Université Abdelmalek Essaadi a pour vocation d'offrir des parcours qui trouvent leurs bases dans une approche pluridisciplinaire. Au département de mathématiques on propose aux étudiants d’acquérir une double compétence en Modélisation Mathématiques et en Science de Données s’appuyant sur la maîtrise de l'informatique scientifique notamment pour le calcul haute Performance, la Statistique et la Science de Données. Cela peut inclure des compétences en programmation, en visualisation de données et en utilisation de bibliothèques de modélisation.

Pour une approche pluridisciplinaire des problèmes liés aux applications, la Modélisation Mathématique et la Science de Données ne peuvent que former des étudiants pour la recherche et les activités professionnelles de haut niveau avec des compétences nécessaires pour mener un travail de recherche et/ou de développement en misant sur : l’autonomie dans l’analyse d’un problème complexe et la proposition d’approches (théoriques, numériques et/ou expérimentales) appropriées ; la maîtrise de l’outil informatique (notamment pour l’analyse de grandes quantités de données) et le calcul scientifique qui se pose à l’entreprise et une solution innovante et compétitive.
Capacité de communication : Les étudiants doivent être capables de présenter et de communiquer efficacement leurs résultats et leurs conclusions. Des compétences en visualisation des données et en présentation orale sont essentielles.
En plus une bonne formation en MMSD permettra de mieux optimiser les ressources humaines surtout au niveau des encadrants des PFEs (Master) et/ou des Doctorants.","{'Semestre 1': ['', ' Anglais Scientifique I & Soft Skils', ' Programmation Avancée avec Python et R', ' Analyse Numérique Matricielle Avancée', ' Modélisation et calcul fractionnaire ', ' Equation différentielle stochastique (EDS)', ' Analyse fonctionnelle et applications'], 'Semestre 2': ['', ' Sécurité Informatique', ' Analyse numérique des EDPs', ' Séminaire / Initiation à la recherche\xa0 ', ' IA et Machine Learning', ' Statistiques des valeurs extrêmes', ' Analyse asymptotique et modélisation'], 'Semestre 3': ['', ' Analyses de données /BIG DATA ', ' Modèles Mixtes et applications sous R', "" Semi Groupes et équation d'évolution\xa0 "", ' Optimisation et contrôle Optimal', ' Séries chronologiques et Méthodes de prévision', ' Anglais Scientifique II & Soft Skils'], 'Semestre 4': ['', ' Projet de fin d’étude']}","Donner une formation mathématique et statistique-informatique de haut niveau et vise à développer les compétences en communication et l'autonomie des étudiants. | Connaissance des outils pratiques de modélisation mathématiques et d’analyse des données pour la résolution de problèmes issus d'autres disciplines (physique, chimie, biologie, informatique, économie, etc.). | Compréhension et analyse de documents scientifiques et de grandes bases de données. | Conduite d'un projet d'une durée d’un semestre. | Rédaction de rapports et présentation d'exposés de nature mathématique. | Préparation à l'agrégation de mathématiques et concours des professeurs de second cycle. | Ingénieur en simulation numérique",Coordinnateur pédagogique  : Pr.EL HALIMI Rachid        :  r.elhalimi@uae.ac.ma
12,MST :  Sciences Agroalimentaires,mst,https://fstt.ac.ma/Portail2023/mst-sciences-agroalimentaires/,"L'objectif global de cette formation du Master est de former des ressources humaines dont le pays a besoin pour un développement optimal des sciences agroalimentaires.Parmi les objectifs spécifiques :Fournir aux étudiants une formation scientifique et professionnelle avec une approche globale et interdisciplinaire, couvrant différents domaines des sciences et technologies agroalimentaires.Préparer les étudiants à entamer leur vie active dans les différents domaines couvrant les technologies agroalimentaires.Former des professionnels ayant des compétences pour innover et solutionner des problèmes liés aux différents domaines couvrant les sciences agroalimentaires. Les cadres ainsi formés seront dotés d’une double compétence technologique et organisationnelle et seront capables de prendre en charge des projets de recherche et de développement en entreprise et de conduire des activités de production.","{'Semestre 1': ['', ' Procédés industriels', ' Techniques d’analyses des biomolécules 1', ' Anglais scientifique', ' Biochimie alimentaire', ' Microbiologie Alimentaire', ' Exploitation des Données expérimentales'], 'Semestre 2': ['', ' Techniques d’analyses des biomolécules 2', ' Production animale/Production végétale', ' Marketing et économie de filière', ' Réglementation et système de management de la santé et sécurité alimentaire', ' Filière de production : Transformation des produits d’origine végétale ', ' Filière de production : Transformation des produits d’origine animale'], 'Semestre 3': ['', ' Formulation, et chimie des aliments', ' Emballage et sécurité alimentaire', ' Soft Skill', ' Analyse de cycle de vie et valorisation des bioressources et biodéchets', ' Valeur nutritionnelle et sensorielle', ' Gestion de projet'], 'Semestre 4': ['', ' Stage d’initiation a la recherche']}","Conduite d’un projet R&D | Caractérisation physico-chimique, nutritionnelle, organoleptique et rhéologique des aliments | Méthodes d’analyse des données et d’interprétation des résultats | Formation générale à la communication et à la connaissance de l’environnement professionnel.",Coordinnateur pédagogique  : Pr.Amin LAGLAOUI            :  alaglaoui@uae.ac.ma
13,MST : Sciences de l'Environnement,mst,https://fstt.ac.ma/Portail2023/mst-sciences-delenvironnement/,"Cette formation permettra aux étudiants d’acquérir une spécialisation en environnement répondant aux exigences de la recherche fondamentale et appliquée, et apportant une ouverture sur les applications de la recherche dans les secteurs socio-économiques.","{'Semestre 1': ['', ' Procédés de séparation', ' Chimie de l’environnement et rejets urbains', ' Statistique et Simulation numérique', ' Microbiologie de l’Environnement', ' Changements climatiques', ' Anglais/ Expression et communication environnementale'], 'Semestre 2': ['', ' Fonctionnement et préservation des écosystèmes/Étude d’impact sur l’environnement', ' Ressources hydriques et risque de contamination', ' Risques environnementaux nature/ Gestion des déchets', ' Bio-remédiation et lutte biologique en environnement', ' Méthodes spectrométriques', ' Droit et management environnement'], 'Semestre 3': ['', ' Génie physico-chimique des traitements des eaux/ Dépollution atmosphérique', ' Environnement marin', ' Gestion des déchets, traitement et valorisation', ' Gestion intégrée des zones côtières/Développement durable', ' Microorganismes et Environnement', ' Gestion de projet'], 'Semestre 4': ['', ' Projet de fin d’étude']}","D’identifier et d’évaluer les différentes pollutions et de mettre en œuvre des technologies de traitements appropriés ; | D’acquérir les grandes techniques d’instrumentation, d’analyse et de contrôle pour la protection de l’environnement ; | De se préparer aux carrières de recherche universitaire et industrielle ;",Coordinnateur Pédagogique : Pr.A.El Arrim            :  a.elarrim@uae.ac.ma
14,MST : Sciences du Littoral: Approche Pluridisciplinaire,mst,https://fstt.ac.ma/Portail2023/mst-sciences-du-littoralapproche-pluridisciplinaire/,"Ce projet de Master représente le fruit d’un travail approfondi avec un financement de l’Union Européenne (Erasmus Plus - Capacity Building) impliquant 4 universités marocaines (Abdelmelk Essaâdi, IbnTofail, Mohammed V et Chouaib Doukkali). La finalité du projet est d’accompagner par la formation, la dynamique socioéconomique que connait le Maroc. En effet, avec ses 3500 kms de côte (façades Atlantique et méditerranée) le Royaume du Maroc se fixe un positionnement de Leader en Afrique et dans l’espace méditerranéen en matière de gestion intégrée du littoral et de ses infrastructures maritimes et portuaires de grande envergure. Cette gestion intégrée prend en considération l’ensemble des secteurs porteurs de richesse et de création d’emploi, à savoir, les secteurs de la pêche, le tourisme, l’aménagement du territoire, les changements climatiques, le transport, la logistique maritime etc. L’objectif final de ce projet est de former un potentiel humain compétent et rapidement opérationnel pour accompagner la dynamique nationale de développement relative aux différentes activités socioéconomiques du littoral marocain.
 Les deux premiers semestres de ce master constituent un tronc commun visant la mise à niveau des étudiants ayant des profils différents. Le 3ème semestre est dédié aux différents parcours ou options. Chaque option est prise en charge par chaque université engagée dans ce projet. La pluridisciplinarité constitue un atout essentiel de la formation et permet aux étudiants d'acquérir une vision large et globale sur le fonctionnement biogéochimique des écosystèmes littoraux et marins.","{'Semestre 1': ['', ' Anglais scientifique', ' SPOC Risques Côtiers : RISCOMAR (cours en ligne)', ' Biologie des écosystèmes marins et côtiers', ' Valorisation des ressources marines', ' Géologie marine appliquée', ' Géomorphologie et dynamique du littoral'], 'Semestre 2': ['', ' Gestion de projets', ' Instrumentation pour des applications côtières et littorales', ' École de terrain : Approches thématiques', ' Océanographie physique', ' Introduction à la chimie des écosystèmes marins et côtiers', ' Droit et économie de la mer et de l’environnement littoral'], 'Semestre 3': ['', ' Aménagement du littoral et impacts socioéconomiques', ' Changements climatiques et risques côtiers', ' Érosion côtière et stabilité du littoral', ' Agro-écologie appliquée à l’aquaculture', ' Droit de la mer et géopolitique marine', ' Télédétection SIG'], 'Semestre 4': ['', ' Projet de Fin d’Etudes']}",,Coordinnateur pédagogique : Pr.Maatouk Mustapha            :  mmaatouk@uae.ac.ma
15,MST : Sécurité IT et Big Data,mst,https://fstt.ac.ma/Portail2023/mst-securite-it-et-big-data/,"La transformation digitale a profondément modifie tous les aspects du fonctionnement des entreprises et des organisations d’aujourd'hui. Le volume de données que les entreprises créent, manipulent et stockent augmente. De plus la dématérialisation massive des systèmes d'Information vers le cloud, l'explosion de l'internet des objets (IoT) dans un monde tout connecté accessible en mobilité avec smartphone, tablettes, la fraude sur internet via différentes techniques d'ingénierie sociale, la perte de données sensibles suite à des malversations, l'accroissement du télétravail utilisant des réseaux de communication vulnérables ( Internet, mobiles, wifi...) par conséquent les environnements informatiques des entreprises sont plus complexes qu'ils ne l'étaient auparavant, cette complexité crée une surface d'attaque étendue qui est plus difficile à surveiller et à sécuriser. Ceci oblige les entreprises et organisations à repenser leur approche du cyber sécurité, dans un cadre réglementaire de plus en plus contraignant, pour être en mesure de continuer à protéger leurs systèmes d'information de la "" Cyber-menace"" en constante évolution.

Dans ce contexte, le Master Sciences et Technique: Sécurité IT et Big Data vise à former des étudiants capables de s'intégrer dans des projets d'envergure dans le domaine de la sécurité des données massives, en cryptographie, en sécurité des réseaux et des protocoles, ayant des grandes compétences et capacités avancés leurs permettant d'appréhender les modes de pensée des hackers, de mettre en place des audits cyber sécurité, d'imaginer les contremesures efficaces, de superviser les systèmes d'exploitation, les réseaux et les applications web, de mettre en place des approches de gouvernance de la sécurité, et enfin de gérer les risques.","{'Semestre 1': ['', ' Programmation Orientée Objet Avancée en Java / Python', ' Réseaux avancés', ' Data Mining (DM) et Systèmes d’Aide à la Décision (DAS', ' Administration Systèmes et Réseaux', ' Concepts fondamentaux de l’intelligence artificielle', ' Anglais et technique d’expression'], 'Semestre 2': ['', ' Intelligence Artificielle Distribuée (SMA) & Apprentissage Automatique (ML)', ' Technologies IoT: Architectes, protocoles et applications', ' Virtualisation, Cloud et Edge Computing', ' Cryptographie Et Sécurité des Services', ' Architecture et Technologies Big Data', ' Gestion de l’innovation et management de projet informatique'], 'Semestre 3': ['', ' Cybersecurity & Ethical hacking', ' Calcul Haute Performance et Applications en Big Data', ' Deep learning et Applications', ' Administration des Bases de Données Distribuées et Clusters Big Data', ' Audit des systèmes d’information et Management de la sécurité des systèmes d’information', ' Développement Personnel Et Intelligence Émotionnelle'], 'Semestre 4': ['', ' Projet de fin d’étude']}",Ingénieur en Cyber Sécurité. | Spécialiste en Gouvernance de la Sécurité. | Spécialiste de sécurité applicative. | Ethical Hacker. | Expert en Cyber sécurité. | Architecte Réseaux et Systèmes sécurisé. | Big Data Architecte. | Big Data Analyst. | Administrateur sécurité réseaux.,"Coordinnateur pédagogique  : Pr.Abdelhamid ZOUHAIR	        :  mstsit.bd@gmail.com"
16,MST : Systèmes Informatiques  et Mobiles,mst,https://fstt.ac.ma/Portail2023/mst-systemes-informatiqueset-mobiles/,"L’administration des systèmes informatiques et mobiles, comme le Cloud Computing et les objets Internet interconnectés, est devenue aujourd’hui d’une grande nécessité, car ces systèmes sont utilisés dans pratiquement tous les secteurs de l’industrie. En effet, l’évolution de la télécommunication, des téléphones mobiles, des capteurs à prix réduits, et des systèmes Cloud Computing, a créé ce besoin, notamment pour mieux gérer ces infrastructures, qui font, désormais, partie de la vie du citoyen de tous les jours, par exemple dans les réseaux sociaux, les domaines bancaires, les transports, le e-commerce, etc.
Ce Master a pour objectif de former des étudiants capables de répondre aux besoins de gestion et d’administration des systèmes informatiques et mobiles, tout en ayant les compétences nécessaires dans le développement d’applications spécifiques et de la sécurité, ceci afin d’accompagner les organisations dans leurs processus d’implémentation de systèmes informatiques modernes et évolués.","{'Semestre 1': ['', ' Programmation Orientée Objet', ' Systèmes Embarqués Et Mobilité', ' Théorie des Graphes et Recherche', ' IP Mobile Et Protocoles', ' Administration Des Bases De Données', ' Anglais'], 'Semestre 2': ['', ' Data Mining et Machine Learning', ' Scripting Shell et programmation système', ' Administration systèmes et\xa0 réseaux', ' Administration systèmes et réseaux', ' Cloud Computing et Virtualisation', ' Soft Skills'], 'Semestre 3': ['', ' Analysis, Mining And Indexing In Big Multimedia Systems ', ' Développement Mobile', ' Cyber sécurité et investigation', ' Objets Connectés et Intelligence', ' Calcul parallèle et application distribuées', "" Management de Projet et Gestion de l'Innovation""], 'Semestre 4': ['', ' Projet de fin d’étude']}",Administration des infrastructures informatiques des établissements | Implémentation et gestion des systèmes Cloud Computing | Réalisation d’applications mobiles pour des besoins spécifiques | Sécurité des systèmes d’information | Gestion des systèmes mobiles et des objets connectés | Administration des bases de données | Administration de la sécurité réseaux | Développement des applications Mobiles | Développement des applications pour l’Internet des Objets,Coordinnateur pédagogique: Pr.El Amrani Chaker           :  celamrani@uae.ac.ma
17,Analytique des données,lst,https://fstt.ac.ma/Portail2023/lst-analytique-des-donnees/,"La Licence Science et Techniques en analytique des données permet aux étudiants de doter de compétences en matière d'outils informatiques, des
techniques et des méthodes statistiques pour permettre d’organiser, de synthétiser et de traduire efficacement les données métier d’une
organisation. L'étudiant doit être en mesure d'apporter un appui analytique à la conduite d'exploration et à l'analyse complexe de données.","{'Semestre 5': ['', ' Mathématiques pour la science des données', ' Structures des données avancées et théorie des graphes', ' Fondamentaux des bases de données', ' Algorithmique avancée et programmation', ' Développement WEB', ' Développement personnel et intelligence émotionnelle (Soft skills)'], 'Semestre 6': ['', ' Analyse et fouille de données', ' Systèmes et réseaux', ' Ingénierie des données ', ' PFE']}","Masters en sciences de données: fouille de données, business analytiques, blockchain, | Masters orientés e-Technologies: e-Business, e-Administration et e-Logistique | Formations d’Ingénieurs dans une école d’ingénieurs à l’issue de la deuxième ou de la troisième année de licence | Data scientist | Technicien supérieur en SGBD R : installation, configuration et administration des SGBD | WebMaster et développeur de sites web dynamiques | Intégration du monde du travail dans les entreprises et les bureaux d’études",Coordinnateur : Pr.BAIDA Ouafae             :  wbaida@uae.ac.ma
18,Biotechnologies (Options : animale et végétale),lst,https://fstt.ac.ma/Portail2023/lst-biotechnologies/,"L’objectif de la licence Biotechnologie consiste à former des étudiants dans les différents champs disciplinaires de la biologie moderne et de permettre aux étudiants d’acquérir de solides connaissances scientifiques pour une réelle compréhension du Vivant. L’enseignement est conçu pour allier concepts fondamentaux et apprentissage des outils méthodologiques. Il est également conçu pour étendre les compétences au-delà du domaine de la biologie, en particulier vers le monde économique. Ce parcours de licence vise donc à :

Donner des bases fondamentales et des techniques dans le domaine de la biologie moléculaire, de la génétique, de l’immunologie, du génie microbiologique, de l’enzymologie, de la physiologie animale ou végétale, de la biotechnologie animale ou végétale, de l’Ecologie appliquée à la biologie et de la lutte biologique.
Sensibiliser les étudiants aux évolutions technologiques des disciplines concernées.
Permettre aux étudiants d'accéder à un Master.
Intégrer la réflexion scientifique aux problèmes de société.","{'Semestre 5': ['', ' Biologie moléculaire', ' Génétique', ' Enzymologie', ' Immunologie et immunotechnologie', ' Génie Microbiologique', ' Techniques appliquées à la Biologie'], 'Semestre 6 ( Option : végétale)': ['', ' Valorisation des ressources végétales et génie des biomolécules', ' Physiologie végétale', ' Biotechnologie végétale', ' Projet de fin d’études'], 'Semestre 6 ( Option : Animale)': ['', ' Ecologie appliquée à la biologie et lutte biologique', ' Physiologie Animale', ' Biotechnologie Animale', ' Projet de fin d’études']}","Les métiers de l'enseignement primaire, secondaire. | Les métiers de la recherche appliquée et du développement dans les secteurs des biotechnologies, de l'agro-  alimentaire, de l'industrie pharmaceutique,... | Les métiers de la vente (délégués médicaux, technico-commerciaux, entretien d'appareillages scientifiques...). | Les métiers du conseil (consultants, experts auprès de cabinets juridiques ou d'institutions). | Les métiers du journalisme scientifique.","Coordinnateur pédagogique : Pr.Bouayad Noureddin

 :  nbouayad@uae.ac.ma"
19,Design Industriel et Productique (DIP),lst,https://fstt.ac.ma/Portail2023/lst-design-industriel-et-productique/,"Le Lauréat de Licence en Design et Productique en Génie Mécanique, à travers sa formation technique et scientifique, sera en mesure de suivre et d’intervenir dans toutes les étapes de Design, de réalisation, de Contrôle et de suivi du produit tout au long de son cycle de vie.","{'Semestre 5': ['', ' Choix des matériaux, dimensionnement et essais', ' Eléments de machines', ' Machines industrielles', ' Management Industriel', ' CAO\xa0: Conception Assistée par Ordinateur', ' Métrologie et Contrôle de Qualité'], 'Semestre 6': ['', ' FAO\xa0: Fabrication Assistée par Ordinateur', ' Prototypage Rapide', ' Innovation et créativité', ' Projet de fin d’études']}","Planification et ordonnancement des opérations de fabrication ; | Participation à l’élaboration d’un cahier de charge de produit mécanique ; | Gestion de la production mécanique ; | Maintenance des équipements mécaniques (Roulements, embrayages, pompes, …) ; | Contrôle de la conformité des produits dans les Laboratoires et Département qualité : Spécification géométriques
        et d’état de surface, Essais Mécaniques, Traitements thermiques des matériaux ; | Intégration des Services Techniques d’Achat de vente et après-vente.","Coordinnateur pédagogique : Pr.Elmesbahi Abdelilah

 :  a.mesbahi@uae.ac.ma"
20,Énergies Renouvelables (EnR),lst,https://fstt.ac.ma/Portail2023/lst-energies-renouvelables/,"Approfondir les connaissances scientifiques et techniques en énergies renouvelables. Ce domaine inclut l’énergie solaire, éolienne, géothermique, hydraulique, thermoélectrique, L’énergie de la biomasse, le stockage de l’énergie, l’efficacité énergétique.
Elle permettra aux étudiants de pouvoir créer leur entreprise pour l’installation et l’entretien des mini installations photovoltaïques, éolienne, donner du conseil au niveau EnR, ou intégrer des cycles d’ingénieurs ou de Master spécialisés.","{'Semestre 5': ['', ' Calcul Scientifique/Traitement du Signal', ' Mécanique des Fluides/Transferts Thermiques', ' Génie des Matériaux', ' Convertisseurs Statiques d’Énergie Électrique', ' Électrotechnique et Machines Électriques', ' Production des Énergies Renouvelables'], 'Semestre 6': ['', ' Énergie Solaire', ' Énergie Éolienne', ' Maintenance et fiabilité/Gestion de projets- Législation', ' Projet de fin d’études']}",,"Coordinnateur pédagogique: Pr.Ahachad Mohammed

 :  mahachad@uae.ac.ma"
21,Génie civil,lst,https://fstt.ac.ma/Portail2023/lst-genie-civil/,"Former les étudiants aux sciences mécaniques en général et au génie civil en particulier ;Doter les étudiants des outils théoriques, numériques et pratiques pour les applications de la Mécanique aux technologies du Génie Civil et aux techniques de la mécanique des structures ;Dispenser une formation fondamentale en mécanique des structures et en Génie Civil leur permettant la poursuite des études.","{'Semestre 5': ['', ' Mécanique des milieux continus et Outils Techniques en Génie Civil', ' Résistance des matériaux', ' Béton armé', ' Mécanique des sols et notions de base de la géotechnique', ' Matériaux de construction', ' Méthodes numériques et calcul scientifique'], 'Semestre 6': ['', ' Analyse et calcul des structures', ' Électricité du bâtiment', ' Hydraulique et Assainissement', ' Projet de fin d’études']}",,"Coordinnateur pédagogique : Pr.MABSSOUT Mokhtar	

 :  mmabssout@uae.ac.ma"
22,Génie des Procédés,lst,https://fstt.ac.ma/Portail2023/lst-8-genie-des-procedes/,"Formation visant à donner aux étudiants des bases solides en chimie, physique, mathématiques, informatique et de gestion des procédés industriels. Les lauréats de la formation seront capables de conduire des ateliers de fabrication continue et séquentielle, de manager une équipe, de connaître et de prendre en compte les contraintes de sécurité, d’environnement et de l’organisation scientifique du travail.","{'Semestre 5': ['', ' Calculs des réacteurs', ' Bilan Matière et Énergie', ' Opérations Unitaires', ' Mécanique des fluides et Hydraulique', ' Optimisation des Procédés Industrielle', ' Modélisation des processus et Régulation des Procédés'], 'Semestre 6': ['', ' Matériaux et Industrie chimique', ' Procédés de Dépollution', ' Valorisation des Ressources', ' Projet de fin d’études']}","Mettre l’étudiant au cœur des problèmes technologique réel qu’il devra résoudre. | Le futur lauréat doit convaincre le secteur industriel et laboratoires de ses capacités scientifiques, multidisciplinaires, décisionnelles et organisationnelles.",Coordinnateur pédagogique  : Pr.AZAAR Khalid            :  k.azaar@uae.ac.ma
23,"Génie Électrique Option: Génie
Électrique & Système Industriel",lst,https://fstt.ac.ma/Portail2023/lst-genie-electrique-option-genieelectrique-systeme-industriel/,"L’objectif de la licence Génie électrique est de donner aux étudiants les éléments de base en physique mathématique et informatique et de leur apporter une formation solide dans les domaines du génie électrique, en particulier en électronique électrotechnique. Ce qui leur permettra de préparer un master à dominante ingénierie EEA ou d’intégrer les grandes écoles d’ingénieurs. Ils pourront aussi se présenter aux différentes fonctions publiques ou privées exigeant le niveau de la licence.
Les étudiants sont également initiés à la vie professionnelle par le biais de stages au sein des entreprises.","{'Semestre 5': ['', ' Traitement de signal & Télécommunication', ' Actionneurs industriels', ' Électronique et systèmes', ' Automatismes', ' Électronique de puissance', ' Gestion de maintenance et sûreté de fonctionnement'], 'Semestre 6': ['', ' Management du projet ', ' Microcontrôleur microprocesseur ', ' Réseaux et base de données', ' Projet de fin d’études']}","Électronique de contrôle, de mesure et de commande. | Traitement et analyse du signal. | Principe de fonctionnement et le domaine d’application des machines électriques. | Électronique de puissance. | Automates programmables. | Techniques de commande de processus industriels. | Systèmes à microprocesseur. | Réseaux informatique. | Bases de données. | Gestion de la maintenance.",Coordinnateur pédagogique : Pr. Mekrini Zineb            :  zmekrini@uae.ac.ma
24,Génie Industriel,lst,https://fstt.ac.ma/Portail2023/lst-genie-industriel/,"Cette formation pluridisciplinaire garantit l’ouverture d’esprit nécessaire pour appréhender et dominer les problèmes concernant un projet industriel dont l’aspect technique ne constitue qu’une partie parmi d’autres.
L’étudiant disposant d’une licence Sciences et techniques Génie Industriel pourra poursuivre ses études supérieures dans les différentes grandes écoles ou bien en Master Science et Techniques. Il pourra aussi intégrer le tissu industriel essentiellement les PME/PMI.","{'Semestre 5': ['', ' Machines Hydrauliques', ' Gestion de production', ' Machines Thermiques', ' Gestion de la qualité', ' Gestion de la maintenance et sureté de fonctionnement', ' Matériaux et RDM'], 'Semestre 6': ['', ' Logistique et Supply Chain Management', ' Optimisation des Systèmes', ' Management de projet', ' Projet de fin d’études']}",Métiers de l’ingénieur : Production ; Méthodes ; Maintenance ; Management de la qualité. | Poursuite des études en Master ou en cycle d’ingénieur.,Coordinnateur pédagogique  : Pr.Hassan El M’rabet             : helmramet@uae.ac.ma
25,Génie Informatique,lst,https://fstt.ac.ma/Portail2023/lst-genie-informatique/,"Avoir une culture de base scientifique ;Acquérir une base solide dans les axes majeurs et fondamentaux de la discipline informatique : Algorithmique, Programmation, Bases de Données, Technologies Web, Systèmes d’Exploitation et Réseaux Informatiques, ... ;Développer un savoir-faire technique en informatique : technologie objet, informatique distribuée, architectures client-serveur et n-tiers, applications hétérogènes, … ;","{'Semestre 5': ['', ' Programmation Orientée Objet en C++', ' Bases de Données ', ' Architecture C/S et Développement Web Dynamique', ' Introduction aux Réseaux Informatiques', ' Système d’exploitation UNIX/Linux', ' TEC & Anglais'], 'Semestre 6': ['', ' Modélisation UML', ' Programmation Orientée Objet en Langage JAVA', ' Les Réseaux TCP/IP', ' Projet de fin d’études']}",,Coordinnateur pédagogique  : Pr.Boudhir Anouar Abdelhakim             : aboudhir@uae.ac.ma
26,Géosciences Appliquées,lst,https://fstt.ac.ma/Portail2023/lst-geosciences-appliquees/,"Cette licence mettra l’accent sur trois aspects fondamentaux :Compléter la formation du premier cycle (acquisition des méthodes et concepts généraux).Apporter aux étudiants à la fois une formation solide et équilibrée combinant outils théoriques, expérimentaux et techniques diversifiés liés aux Sciences de la Terre et de l’Environnement.Préparer les étudiants à la vie active ou à la poursuite des études supérieures.","{'Semestre 5': ['', ' Pétrographie/Minéralogie', ' Environnements sédimentaires', ' Élément de\xa0 tectonique/Domaines structuraux du Maroc', ' Ressources hydriques', ' Géochimie et pollution urbaine', ' Pédologie'], 'Semestre 6': ['', ' Traitement des données géologiques', ' Cartographie numérique', ' Géologie appliquée', ' Projet de fin d’études']}",L’expertise et Cartographie. | La Géotechnique et Géo-matériaux (achat et vente du matériel de génie géologique). | L’environnement (technicien de l’environnement).,Coordinnateur pédagogique : Pr.Wahbi Miriam           :  mwahbi@uae.ac.ma
27,"Ingénierie de Développement d’Applications
Informatiques",lst,https://fstt.ac.ma/Portail2023/lst-ingenierie-de-developpement-dapplications-informatiques/,"La Licence Science et Technique permet en Ingénierie de développement d’applications informatiques aux étudiants :d'avoir une culture de base scientifique,d’acquérir une base solide dans les axes majeurs et fondamentaux de la discipline informatique : algorithmique, programmation, bases de données, systèmes d’exploitations et réseaux.de développer un savoir-faire technique en informatique : technologie objet, informatique distribuée, architectures client-serveur et n-tiers, applications hétérogènes...d’améliorer leur niveau d’anglaisd’avoir une culture d’entreprise suffisante pour se faire une idée concrète sur le monde du travail.","{'Semestre 5': ['', ' Modélisations avancée et Méthodes de génie logiciel', ' Développement Web', ' Base de données Structurées et non Structurées', ' Programmation Orientée Objet en C++/Java', ' Systèmes et réseaux informatiques', ' Développement de soft skills'], 'Semestre 6': ['', "" Innover, Entreprendre et s’initier à la Gestion d'une Entreprise avec un ERP"", ' Initiation en développement mobile et Edge Computing', ' Développement web avancé Back end (Python) ', ' PFE']}","Technicien supérieur en développement d’application en C++ et JAVA | Technicien supérieur en réseaux locaux : installation, configuration et administration des réseaux locaux | Technicien supérieur en SGBD R : installation, configuration et administration des SGBD | WebMaster et développeur de sites web dynamiques | Poursuivre des études supérieures en Informatique",Coordinnateur : Pr.KOUNAIDI Mohamed             :  m.kounaidi@@uae.ac.ma
28,Ingénierie Statistique,lst,https://fstt.ac.ma/Portail2023/lst-ingenierie-statistique/,"Permettre aux étudiants d’acquérir des connaissances mathématiques fondamentales et appliquées.Apporter aux étudiants une formation solide en statistique, tout en leur permettant  d’acquérir une culture scientifique générale pour favoriser leur intégration dans leur futur environnement.Développer les aspects théoriques par des enseignements adaptés (cours, travaux dirigés, étude de cas, mini projets) et des aspects pratiques par des études de problèmes concrets de la statistique appliquée (stages en entreprise, visites et projets de fin d’études).Utiliser efficacement l’outil informatique et les logiciels statistiques.Former des jeunes diplômés, aptes à répondre aux besoins des entreprises dans le domaine du traitement statistique de l’information et des techniques d’aide à la décision.Préparer les étudiants aux carrières de recherche universitaire.","{'Semestre 5': ['', ' Topologies dans les espaces métriques', ' Intégration', ' Probabilités avancées', ' Recherche Opérationnelle', ' Concept de base de Programmation avancée C++', ' Analyse des données'], 'Semestre 6': ['', ' Statistique Mathématique', ' MSP', ' Régression–Anova', ' Projet de fin d’études']}",Formation académique en mathématiques fondamentales et statistiques mathématiques offrant ainsi la possibilité de poursuivre les études en Master fondamental ou professionnel. | Maîtrise de l’outil informatique et les logiciels statistiques spécialisés. | Capacité à concevoir et à mener des études statistiques offrant des perspectives professionnelles dans différents secteurs socio-économiques et industriels.,Coordinnateur pédagogique : Pr.El Merzguioui Mhamed             :  melmerzguioui@uae.ac.ma
29,Mathématiques et Applications,lst,https://fstt.ac.ma/Portail2023/lst-mathematiques-et-applications/,"Acquérir une double compétence mathématiques et informatique grâce à laquelle ils aborderont les problèmes de modélisation et de simulation scientifique sous tous leurs aspects, de la conception à la mise en oeuvre numérique.
L’accent est donc mis à la fois sur des techniques d’ingénierie mathématiques et sur les langages de programmation et les outils algorithmiques.","{'Semestre 5': ['', ' Topologies dans les espaces métriques', ' Intégration', ' Probabilités avancées', ' Recherche Opérationnelle', ' Concepts de base de programmation orientée C', ' Analyse numérique matricielle'], 'Semestre 6': ['', ' Calcul différentiel et équations différentielles', ' Topologie générale et distributions', ' Analyse numérique des équations différentielles', ' Projet de fin d’études']}",Les entreprises et les bureaux d’études ; | La poursuite des études en cycle ingénieur ; | La poursuite des études en cycle Master ; | L’enseignement public ou privé.,Coordinnateur pédagogique : Pr.Lahrouz Adil           :  a.lahrouz1@uae.ac.ma
